k,k4_cluster,n,mean_Ta_C,p95_Ta_C,mean_RH_pct,mean_wind_ms,mean_GHI_Wm2,mean_precip,mean_mist_hours,mean_water_L,mean_autonomy,k5_cluster,k6_cluster
4,0.0,22,25.583022480237158,30.780681818181815,61.40482954545455,2.427927371541502,597.6188241106719,117.75454545454545,28.545454545454547,1092.8323426573427,34.653105663716,,
4,1.0,24,33.296818387681164,38.416666666666664,26.59091938405797,2.9745867300724638,722.4557291666666,12.958333333333334,486.4166666666667,28320.204326923078,1.6980497193247197,,
4,2.0,16,28.42381114130435,32.475,56.987092391304344,5.411761209239131,671.4182235054348,22.03125,106.875,3829.0662259615387,26.03641945367519,,
4,3.0,48,28.012732110507248,33.921875,37.34213654891304,2.7849609375000006,673.6904155344203,36.49166666666667,133.125,5514.675,10.775325798052942,,
5,,16,28.42381114130435,32.475,56.987092391304344,5.411761209239131,671.4182235054348,22.03125,106.875,3829.0662259615387,26.03641945367519,0.0,
5,,23,33.40373936672968,38.55978260869565,26.19577032136106,2.9408553875236296,722.3544423440454,12.773913043478261,495.5217391304348,29056.190719063547,1.6162569943949854,1.0,
5,,7,24.24223602484472,29.59642857142857,64.42430124223603,2.2534743788819878,564.6469332298136,192.6,11.428571428571429,465.18049450549455,39.67511839123059,2.0,
5,,41,27.961890243902438,33.90853658536585,34.755302226935314,2.8570420201484628,684.9415429480382,32.924390243902444,135.9268292682927,5700.080206378987,11.305722804507004,3.0,
5,,23,27.049657372400755,32.30978260869565,56.65524574669187,2.5186909262759927,616.2785916824197,72.2304347826087,71.3913043478261,2746.9424749163877,23.560990503373933,4.0,
6,,33,27.45094696969697,33.70454545454545,31.552618577075098,2.864430994729908,678.9914772727273,37.369696969696975,117.21212121212122,5047.1524475524475,11.60798304646788,,0.0
6,,7,24.24223602484472,29.59642857142857,64.42430124223603,2.2534743788819878,564.6469332298136,192.6,11.428571428571429,465.18049450549455,39.67511839123059,,1.0
6,,23,26.899870037807183,32.19239130434782,56.46284262759924,2.60382797731569,615.6928757088847,72.25217391304348,62.82608695652174,2481.3328595317726,25.49328262293195,,2.0
6,,21,33.51724896480331,38.69880952380952,24.38638716356108,2.818911749482402,722.547748447205,12.52857142857143,501.9047619047619,30151.799450549453,1.5472083995963668,,3.0
6,,13,29.904535953177255,34.26923076923077,54.28658026755853,2.817339046822743,707.4997909698997,13.161538461538463,186.0,7120.340680473372,15.285728276563544,,4.0
6,,13,28.803626672240803,33.0,52.66252090301004,6.0815112876254185,667.3230560200669,25.253846153846155,157.76923076923077,5927.808284023669,19.89071183419621,,5.0
