archetype,n_cities,mean_Ta_C,mean_RH_pct,mean_GHI_Wm2,mean_precip_metric,mean_autonomy,mean_water_L,mean_mist_hours_h
Hot–Dry Inland,21,33.51724896480331,24.38638716356108,722.547748447205,12.52857142857143,1.5472083995963668,30151.799450549453,501.9047619047619
Humid Black Sea,7,24.24223602484472,64.42430124223603,564.6469332298136,192.6,39.67511839123059,465.18049450549455,11.428571428571429
Humid Mediterranean Coastal,13,29.904535953177255,54.28658026755853,707.4997909698997,13.161538461538463,15.285728276563544,7120.340680473372,186.0
Semi-Arid Plateau,33,27.45094696969697,31.552618577075098,678.9914772727273,37.369696969696975,11.60798304646788,5047.1524475524475,117.21212121212122
Temperate / Windy Coastal,13,28.803626672240803,52.66252090301004,667.3230560200669,25.253846153846155,19.89071183419621,5927.808284023669,157.76923076923077
Temperate Humid Transitional,23,26.899870037807183,56.46284262759924,615.6928757088847,72.25217391304348,25.49328262293195,2481.3328595317726,62.82608695652174
