archetype,mean_misting_hours_h,mean_water_use_L_per_module,mean_autonomy_ratio,main_misting_hours_h,main_water_use_L_per_module,main_autonomy_ratio,diff_misting_h,diff_water_L,diff_autonomy
Hot–Dry Inland,501.9047619047619,30151.799450549453,1.5472083995963668,501.9047619047619,30151.799450549453,1.5472083995963668,0.0,0.0,0.0
Humid Black Sea,11.428571428571429,465.18049450549455,39.67511839123059,11.428571428571429,465.18049450549455,39.67511839123059,0.0,0.0,0.0
Humid Mediterranean Coastal,186.0,7120.340680473372,15.285728276563542,186.0,7120.340680473372,15.285728276563544,0.0,0.0,-1.7763568394002505e-15
Semi-Arid Plateau,117.21212121212122,5047.1524475524475,11.607983046467881,117.21212121212122,5047.1524475524475,11.60798304646788,0.0,0.0,1.7763568394002505e-15
Temperate / Windy Coastal,157.76923076923077,5927.808284023669,19.89071183419621,157.76923076923077,5927.808284023669,19.89071183419621,0.0,0.0,0.0
Temperate Humid Transitional,62.82608695652174,2481.3328595317726,25.49328262293195,62.82608695652174,2481.3328595317726,25.49328262293195,0.0,0.0,0.0
